"THETA1","THETA2","THETA3","THETA4","THETA5","THETA6","THETA7","THETA8","SIGMA.1.1.","OMEGA.1.1.","OMEGA.2.1.","OMEGA.2.2.","OMEGA.3.1.","OMEGA.3.2.","OMEGA.3.3.","OBJ","WEIGHT"
0.391023,4.11622,1.20237,4.2229,1.29977,0.505811,-0.0344431,0.605146,0.0390496,0.254283,0.0708649,0.0792425,0.108183,0.0600262,0.101457,30915.6813557318,1.85486783921019
0.547204,4.1537,1.24269,4.22846,1.28958,0.515198,-0.0181845,0.386878,0.0415894,0.245754,0.0718644,0.0822071,0.139535,0.0822233,0.115495,30929.670393012,0.102002583267187
0.489546,4.1324,1.18795,4.2071,1.22031,0.465697,0.00825347,0.380725,0.0394544,0.130788,0.0299819,0.0581857,0.0871923,0.0543128,0.0987201,30920.6988412248,0.346783750087685
0.455624,4.1752,1.16375,4.18647,1.24352,0.433268,-0.0297852,0.432622,0.0392586,0.217332,0.0627962,0.082252,0.134808,0.0667771,0.116445,30917.6413461793,1.34209588060136
0.438309,4.10771,1.13673,4.17808,1.31261,0.446265,-0.0516121,0.374657,0.0416781,0.209963,0.0965711,0.0880065,0.149568,0.0798535,0.127373,30922.5909047841,0.140160674642239
0.436244,4.12259,1.19256,4.22294,1.27024,0.511592,0.0278312,0.396876,0.0408024,0.227079,0.0511115,0.0752757,0.12222,0.0695005,0.118898,30910.4137433862,0.576174143141802
0.438179,4.14962,1.23895,4.20574,1.2966,0.554252,0.0443995,0.480828,0.0441916,0.299694,0.105336,0.0992575,0.164042,0.0927824,0.138193,30931.8860082678,2.63228999120674
0.4355,4.11887,1.13221,4.1894,1.29489,0.469117,-0.164164,0.34225,0.0403239,0.255398,0.0990853,0.0921873,0.133755,0.0808273,0.114596,30918.8358654035,0.477033127371806
0.46642,4.11275,1.15216,4.19324,1.28227,0.481993,-0.165192,0.320322,0.0411818,0.170591,0.0481956,0.0758689,0.111517,0.0735663,0.121348,30917.0014786042,1.28722624551555
0.495851,4.11891,1.18462,4.21101,1.22689,0.487997,0.0746609,0.492708,0.0394389,0.339519,0.0681946,0.0759761,0.15237,0.067262,0.122044,30917.9482068315,3.93578687186881
0.466584,4.10318,1.18732,4.20976,1.26695,0.468164,0.0826984,0.604986,0.0402469,0.198604,0.0635477,0.0887904,0.122311,0.0826777,0.135089,30918.5566582658,1.96069853179889
0.512211,4.10698,1.16211,4.16241,1.24606,0.425297,-0.0782274,0.398552,0.0397836,0.261036,0.0745189,0.0844047,0.146212,0.0674898,0.0969168,30929.1405086984,0.0239984428664482
0.353947,4.07964,1.1393,4.20708,1.28622,0.472014,-0.0467811,0.407018,0.0401677,0.237219,0.0687339,0.0748543,0.104984,0.0608844,0.103604,30912.269662103,1.52121600116818
0.459399,4.12133,1.18677,4.21515,1.3011,0.406617,-0.0416596,0.523058,0.0394676,0.224945,0.0632769,0.0837536,0.133742,0.0710927,0.13006,30913.1498094589,25.7890763305521
0.433118,4.12951,1.1883,4.25379,1.30815,0.526593,-0.077589,0.505985,0.0391904,0.21042,0.0472701,0.0597913,0.120978,0.064731,0.113961,30928.1535849314,0.160571063531298
0.373777,4.05802,1.13841,4.18719,1.25993,0.484681,-0.0706484,0.417636,0.0402326,0.169886,0.0348362,0.0621775,0.0817156,0.0573901,0.101255,30926.6410448354,0.0967467578811363
0.399503,4.11105,1.17642,4.19086,1.24859,0.520002,-0.0720831,0.394349,0.0377682,0.178029,0.0705291,0.0807844,0.111922,0.071851,0.11201,30918.8988717015,0.795999282852686
0.516585,4.1317,1.14592,4.18019,1.27963,0.496818,-0.105409,0.284074,0.0407522,0.182576,0.0589406,0.0760566,0.131581,0.0679904,0.108883,30921.6853058898,0.0871775356433014
0.419824,4.12046,1.1307,4.20656,1.23456,0.46991,0.0160507,0.408964,0.0375812,0.234441,0.0646999,0.0791535,0.116845,0.0619283,0.109412,30916.2357698865,0.756053772242558
0.376345,4.08737,1.14727,4.22447,1.31493,0.491153,-0.104643,0.486391,0.0413916,0.181279,0.0544204,0.0685874,0.122956,0.0611951,0.107942,30915.2476818688,0.604617396625098
0.415235,4.14082,1.16648,4.21434,1.25117,0.448032,-0.0475102,0.251689,0.040562,0.214374,0.0243965,0.0691004,0.0993291,0.0556458,0.108476,30921.0470351986,0.69833932683083
0.457438,4.09839,1.16033,4.16915,1.34405,0.510474,-0.0301246,0.356783,0.039412,0.193121,0.0645093,0.0871078,0.119827,0.0665658,0.102748,30919.6855758035,1.19554697284785
0.464856,4.12155,1.16361,4.24111,1.28525,0.457803,0.0526966,0.413297,0.0407146,0.165373,0.04261,0.0676631,0.107102,0.0566491,0.104599,30915.6047897546,0.774335623521953
